questionshist,reponse,mauvaisereponse1,mauvaisereponse2
Quel est le jour de Noël ?,"""25 décembre"".","""24 décembre"".","""1 janvier""."
"En moyenne, combien y'a-t-il de semaines dans un mois :","""4"".","""1"".","""13""."
Quel est le plus ancien vehicule ?,"""Bateau"".","""Voiture"".","""Fusée""."
A quelle saison tombent les feuilles des arbres ?,"""Automne"".","""Hiver"".","""Eté""."
Quel mois suit le mois de mars ?,"""Avril"".","""Mai"".","""Février""."
Quel personnage a vraiment existé :,"""Princesse"".","""Fée"".","""Sorcière""."
"Quel mot, commençant par R-O, désigne les ennemis des Gaulois ?","""Romains"".","""Routiers"".","""Romarins""."
Les premières photos étaient en noir et blanc ?,"""Vrai"".","""Faux"".",
Tous les mois ont le même nombre de jours ?,"""Faux"".","""Vrai"".",
Quel personnage a jamais existé :,"""Ogre"".","""Chevalier"".","""Duc""."
" Autrefois, quel objet en or portait le roi de France sur sa tête ?","""Une couronne"".","""Un chapeau"".","""Une casquette""."
Combien y'a-t-il d'heure dans une journée ?,"""24"".","""25"".","""23""."
"Sur une horloge, quelle aiguille indique l'heure :","""Petite"".","""Moyenne"".","""Grande""."
Quel est le troisième mois de l'année ? ,"""Mars"".","""Février"".","""Avril""."
Trouve l'intrus :,"""Hiver"".","""Juin"".","""Octobre""."
Les premiers Hommes se chauffaient : ,"""Au bois"".","""A l'essence"".","""Au gaz""."
Quelle heure est-il deux heures avant midi ?,"""10h"".","""11h"".","""12h""."
Quel est le plus récent ?,"""Cosmonaute"".","""Homme préhistorique"".","""Chevalier""."
Combien y'a-t-il de saisons dans une année ?,"""4"".","""5"".","""6""."
A quelle saison fête-t-on le jour de l'an ?,"""Hiver"".","""Eté"".","""Printemps""."
